user_id,item_id,rating,timestamp
1,5,3.0,1600000000
1,7,4.0,1600008059
1,16,5.0,1600019345
1,19,5.0,1600022086
1,22,5.0,1600032542
1,24,4.0,1600035077
1,25,4.0,1600045031
1,26,4.0,1600056636
1,27,3.0,1600062247
1,28,5.0,1600074236
1,29,4.0,1600081874
1,32,3.0,1600092612
1,33,4.0,1600098156
1,38,4.0,1600104509
1,46,5.0,1600116269
1,47,5.0,1600119957
1,49,5.0,1600131681
1,50,5.0,1600138526
1,52,5.0,1600142153
1,56,5.0,1600153553
1,57,5.0,1600165139
1,58,5.0,1600169839
1,59,5.0,1600181403
1,67,3.0,1600187353
1,68,4.0,1600194386
1,74,4.0,1600199029
1,78,5.0,1600203971
1,79,4.0,1600211521
1,83,4.0,1600214674
1,88,4.0,1600223832
1,90,3.0,1600229232
10,1,5.0,1601994309
10,2,5.0,1601997748
10,5,5.0,1602006200
10,6,5.0,1602015879
10,7,5.0,1602024380
10,11,4.0,1602027410
10,12,4.0,1602039313
10,14,5.0,1602046963
10,15,5.0,1602052511
10,16,3.0,1602064213
10,22,4.0,1602074024
10,25,3.0,1602079352
10,31,3.0,1602087088
10,34,4.0,1602092440
10,41,3.0,1602097215
10,48,3.0,1602100792
10,55,3.0,1602104507
10,61,5.0,1602114095
10,62,4.0,1602120289
10,64,5.0,1602127442
10,65,5.0,1602138966
10,66,4.0,1602150206
10,67,4.0,1602155232
10,69,4.0,1602163263
10,70,5.0,1602166227
10,71,5.0,1602178176
10,72,4.0,1602190049
10,75,5.0,1602200708
10,79,4.0,1602207220
10,83,3.0,1602216922
10,87,3.0,1602224653
10,88,4.0,1602236355
11,1,4.0,1602240862
11,9,4.0,1602249655
11,13,3.0,1602260588
11,16,5.0,1602270579
11,21,4.0,1602281187
11,25,4.0,1602285881
11,28,4.0,1602297724
11,33,3.0,1602307602
11,38,3.0,1602316555
11,40,4.0,1602325631
11,43,3.0,1602333587
11,46,4.0,1602338377
11,53,4.0,1602345779
11,59,3.0,1602350074
11,63,3.0,1602362051
11,64,3.0,1602370780
11,67,3.0,1602373797
11,68,3.0,1602383158
11,76,5.0,1602392381
11,77,5.0,1602402718
11,78,5.0,1602408055
11,79,5.0,1602419505
11,80,5.0,1602426336
11,81,5.0,1602432874
11,82,5.0,1602440250
11,83,5.0,1602450761
11,84,4.0,1602457741
11,85,5.0,1602469140
11,88,5.0,1602477294
11,89,4.0,1602481088
12,1,5.0,1602487789
12,2,5.0,1602494731
12,3,4.0,1602499480
12,4,4.0,1602505900
12,5,5.0,1602517100
12,6,4.0,1602521241
12,7,5.0,1602525388
12,9,4.0,1602536904
12,10,5.0,1602547197
12,11,4.0,1602554403
12,12,5.0,1602558368
12,14,4.0,1602561479
12,15,5.0,1602566859
12,17,3.0,1602575863
12,19,3.0,1602583105
12,26,3.0,1602587363
12,27,4.0,1602594333
12,31,5.0,1602599495
12,34,4.0,1602606828
12,37,3.0,1602615971
12,41,3.0,1602621498
12,46,3.0,1602631317
12,47,4.0,1602637688
12,48,3.0,1602645214
12,70,4.0,1602652809
12,71,4.0,1602657147
12,74,3.0,1602667928
12,75,5.0,1602677667
12,76,3.0,1602688175
12,80,3.0,1602691586
12,86,4.0,1602699135
12,88,3.0,1602702679
12,89,3.0,1602712913
13,14,3.0,1602717631
13,15,3.0,1602728795
13,16,5.0,1602731351
13,17,4.0,1602741436
13,18,4.0,1602752651
13,19,5.0,1602762697
13,20,3.0,1602767045
13,21,4.0,1602769801
13,22,5.0,1602772851
13,23,5.0,1602776148
13,24,5.0,1602785839
13,25,4.0,1602789263
13,28,5.0,1602795599
13,29,4.0,1602803352
13,30,4.0,1602814392
13,34,3.0,1602817890
13,42,3.0,1602829497
13,49,5.0,1602840810
13,51,5.0,1602852440
13,52,5.0,1602860351
13,53,4.0,1602868930
